course,is_long,is_short,fast_greens,is_penal,is_narrow,is_rough,is_target,is_altitude,is_windy,is_coastal,is_classic
"Aronimink Golf Club - Newton Square, PA",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
"Augusta National Golf Club - Augusta, GA",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Baltusrol - Springfield, NJ",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
"Bay Hill - Orlando, FL",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
"Bellerive Country Club - St. Louis, MO",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"Bethpage - Farmingdale, NY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Caves Valley Golf Club - Baltimore, MD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chapultepec - Mexico City, Mexico",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Colonial - Ft. Worth, TX",0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
"Congaree Golf Club - Ridgeland, SC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Congressional - Bethesda, MD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Conway Farms Golf Club - Lake Forest, IL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Country Club of Jackson - Jackson, MS",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Crooked Stick - Carmel, IN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Detroit Golf Club - Detroit, MI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eagle Point Golf Club - Wilmington, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"East Lake Golf Club - Atlanta, GA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
